PERFIL;¿En qué universidad estudias actualmente?;¿En qué país estás cursando tus estudios?;¿A qué área principal pertenece tu carrera?;Por favor, escribe el nombre de tu carrera o programa de estudios.;¿Qué semestre estás cursando actualmente?;¿Cuál es tu edad?;¿Con qué género te identificas?;COMPETENCIAS_IA;Análisis e interpretación de datos.;Fundamentos de ciberseguridad.;Conceptos básicos de programación y automatización.;Manejo de herramientas de IA (ej. ChatGPT, Copilot, Gemini, DALL-E);Pensamiento crítico y resolución de problemas complejos;Comunicación efectiva en entornos digitales;Adaptabilidad y aprendizaje continuo;Creatividad e innovación;Colaboración en equipos multidisciplinarios;PERTINENCIA_LABORAL;El currículo de mi carrera está alineado con las habilidades demandadas por el mercado laboral digital.;Mi universidad promueve activamente el desarrollo de competencias digitales y blandas.;Siento que la formación que he recibido me prepara para trabajos que aún no existen.;El uso de la tecnología y la IA está bien integrado en las asignaturas de mi carrera.;La metodología de enseñanza en mi carrera fomenta la adaptabilidad y el aprendizaje continuo.;CONFIANZA_LABORAL;Me siento seguro(a) de que mi formación académica me prepara para conseguir un empleo relevante en mi área.;Mi perfil de egreso es competitivo en el mercado laboral actual.;Considero que mis habilidades blandas (ej. comunicación, creatividad) me dan una ventaja en el mercado laboral.;Creo que mi conocimiento sobre herramientas de IA mejorará mis oportunidades laborales.;Habilidades técnicas y digitales (ej. programación, análisis de datos);Habilidades blandas (ej. pensamiento crítico, adaptabilidad);Experiencia práctica o pasantías;Red de contactos (networking);Título académico de la universidad;EVALUACION_DOCENTE;El profesorado de mi carrera está capacitado para integrar herramientas de IA en la enseñanza.;Mi universidad fomenta la innovación en las metodologías de enseñanza para adaptarse a la era digital.;Mi universidad tiene los recursos adecuados (plataformas, software) para formar profesionales en la era digital.;En general, recomendaría mi universidad como una institución que prepara para los desafíos del mercado laboral digital.;El rol principal del profesorado será el de facilitador y guía del aprendizaje.;El profesorado deberá enfocarse más en enseñar habilidades humanas (pensamiento crítico, ética, creatividad) que en transmitir información.;El rol del profesorado se reducirá significativamente, siendo reemplazado en gran medida por la IA.;_id;_uuid;_submission_time;_validation_status;_notes;_status;_submitted_by;__version__;_tags;_index
;Unicach;México;Ciencias Económicas y Administrativas;Gestión y desarrollo de negocios;8vo Semestre;20;Femenino;;Básico;Básico;Básico;Básico;Básico;Intermedio;Básico;Básico;Básico;;Neutral;Neutral;Neutral;En desacuerdo;Neutral;;Importante;Importante;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Muy importante;;Neutral;De acuerdo;Neutral;De acuerdo;Neutral;De acuerdo;Neutral;589504721;d26b804b-a415-4d8c-bbf1-35ec584120c1;2025-10-23T19:56:35;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;339
;Unicach;México;Ciencias Económicas y Administrativas;Licenciatura en gestión y desarrollo de negocios;8vo Semestre;23;Masculino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;589508221;8924c129-946f-46b9-9154-474b8d9724e6;2025-10-23T20:03:27;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;340
;Unichach;México;Ciencias Económicas y Administrativas;Licenciatura en gestión y desarrollo de negocios;8vo Semestre;20;Femenino;;Básico;Básico;Básico;Intermedio;Básico;Intermedio;Básico;Intermedio;Básico;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;589522967;be8620af-04cd-4e32-98e3-bb2f4a934a71;2025-10-23T20:28:20;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;341
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;MARKETING;8vo Semestre;25;Masculino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;589546454;7db46154-ea0a-4a20-a1ce-6af3f760eaea;2025-10-23T21:19:07;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;342
;ESPOCH;Ecuador;Ciencias Sociales y Humanidades;MARKETING;8vo Semestre;20;Femenino;;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;589551667;3dfe504f-5c85-404c-917f-f2745070fcfd;2025-10-23T21:31:22;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;343
;Universidad de ciencias y artes de Chiapas;México;Otro;Licenciatura en gestión y desarrollo de negocios;8vo Semestre;22;Femenino;;Intermedio;Básico;Básico;Ninguno;Avanzado;Intermedio;Avanzado;Intermedio;Avanzado;;De acuerdo;Neutral;Neutral;Totalmente en desacuerdo;De acuerdo;;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente en desacuerdo;Neutral;Totalmente en desacuerdo;Neutral;De acuerdo;De acuerdo;Neutral;589566696;e6c86654-7a8b-429e-91bd-1527722a4a51;2025-10-23T22:12:45;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;344
;UNICACH;México;Ciencias Económicas y Administrativas;Gestión y Desarrollo de Negocios;8vo Semestre;20;Femenino;;Intermedio;Básico;Ninguno;Básico;Básico;Básico;Intermedio;Básico;Intermedio;;Neutral;Neutral;En desacuerdo;Neutral;En desacuerdo;;Poca importancia;Poca importancia;Neutral;Neutral;Neutral;Neutral;Poca importancia;Neutral;Importante;;Neutral;Neutral;En desacuerdo;Neutral;Neutral;Neutral;Neutral;589569073;588cf34e-4c43-415c-80f0-aaef1981fbae;2025-10-23T22:19:32;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;345
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;21;Masculino;;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Totalmente de acuerdo;De acuerdo;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Poca importancia;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;589570244;307a4dca-256f-41b4-9ff7-1e355be86812;2025-10-23T22:23:49;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;346
;UNICACH;México;Ciencias Económicas y Administrativas;Gestión y Desarrollo de Negocios;8vo Semestre;20;Masculino;;Intermedio;Básico;Básico;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Básico;;De acuerdo;Neutral;Neutral;Neutral;Neutral;;Importante;Neutral;Importante;Muy importante;Neutral;Importante;Neutral;Importante;Muy importante;;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Neutral;589580494;1c0b69a4-3879-4139-9a8b-b32565de99db;2025-10-23T23:05:55;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;347
;ESPOCH;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;22;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Básico;Intermedio;Intermedio;Intermedio;;En desacuerdo;De acuerdo;Totalmente en desacuerdo;Neutral;De acuerdo;;Importante;Importante;Neutral;Neutral;Importante;Importante;Muy importante;Importante;Importante;;Neutral;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;En desacuerdo;589626407;fb7fb390-bf7a-4584-ac32-f0ed7a9fdd22;2025-10-24T01:48:25;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;348
;Institución universitaria de Envigado;Colombia;Otro;Administración de negocios internacionales;9no Semestre;23;Femenino;;Intermedio;Básico;Básico;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;Neutral;De acuerdo;En desacuerdo;Totalmente de acuerdo;;Muy importante;Importante;Importante;Muy importante;Neutral;Importante;Neutral;Muy importante;Importante;;En desacuerdo;Neutral;De acuerdo;De acuerdo;Totalmente de acuerdo;Neutral;En desacuerdo;589653508;9bac777a-75ec-4284-8295-d24ab14ff6e4;2025-10-24T03:19:35;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;349
;Univerdidad de Ciencias y Artes de Chiapas;México;Otro;Unicach;8vo Semestre;22;Masculino;;Intermedio;Básico;Básico;Básico;Básico;Básico;Avanzado;Intermedio;Intermedio;;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;;Poca importancia;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;En desacuerdo;Neutral;589655145;07454cc4-a974-460b-aabc-6d9add1ab9e2;2025-10-24T03:24:43;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;350
;Universidad de Ciencias y Artes de Chiapas;México;Ciencias Económicas y Administrativas;Licenciatura en Gestión y Desarrollo de Negocios;8vo Semestre;23;Masculino;;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;589686704;bd86a271-ca3c-4895-b99e-299a4e70a416;2025-10-24T04:49:07;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;351
;Universidad de ciencias administrativas y Tecnologías Digitales Sede Villacorzo;México;Ciencias Económicas y Administrativas;Gestión y desarrollo de negocios;8vo Semestre;21;Masculino;;Avanzado;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;;Importante;Neutral;Importante;Importante;Importante;Importante;Importante;Neutral;Neutral;;Neutral;De acuerdo;Neutral;Neutral;De acuerdo;De acuerdo;En desacuerdo;589727047;e3e03ff1-b355-460b-a2b7-188f2fd380ba;2025-10-24T06:15:08;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;352
;Unicach;México;Ciencias Económicas y Administrativas;GESTIÓN Y DESARROLLO DE NEGOCIOS;8vo Semestre;29;Femenino;;Intermedio;Avanzado;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;De acuerdo;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;589934617;a680d411-4c1a-4a39-af9a-fae36066b8f0;2025-10-24T11:05:19;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;353
;Universidad de Ciencias y Artes de Chiapas;México;Ciencias Económicas y Administrativas;Licenciatura en Gestión y Desarrollo de Negocios;8vo Semestre;21;Masculino;;Intermedio;Ninguno;Ninguno;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Básico;;Neutral;De acuerdo;En desacuerdo;Totalmente en desacuerdo;De acuerdo;;Importante;Importante;Importante;Muy importante;Importante;Importante;Importante;Muy importante;Importante;;De acuerdo;Totalmente de acuerdo;En desacuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;589947977;8a0acc67-a626-4949-ae2e-ddb13d02686a;2025-10-24T11:22:35;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;354
;Universidad de Ciencias y artes de Chiapas;México;Ciencias Económicas y Administrativas;Licenciatura en gestión y desarrollo de negocios;8vo Semestre;21;Masculino;;Avanzado;Básico;Básico;Intermedio;Básico;Intermedio;Experto;Intermedio;Avanzado;;De acuerdo;Neutral;En desacuerdo;Neutral;Neutral;;Importante;Importante;Importante;Neutral;Muy importante;Importante;Importante;Importante;Muy importante;;Neutral;Neutral;En desacuerdo;Neutral;Totalmente de acuerdo;Neutral;Totalmente en desacuerdo;590109905;bce773ba-eea1-498d-993e-183fc405804b;2025-10-24T14:24:44;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;355
;Unicach;México;Otro;Lic. Gestión y desarrollo de negocios;8vo Semestre;21;Femenino;;Intermedio;Básico;Básico;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;;De acuerdo;Neutral;Neutral;En desacuerdo;En desacuerdo;;Poca importancia;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;590346177;c04b952f-dead-44cf-8627-6a4969d950cc;2025-10-24T20:26:16;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;356
;Unicach;México;Ciencias Económicas y Administrativas;Licenciatura en gestión y desarrollo de negocios;8vo Semestre;21;Femenino;;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;Neutral;De acuerdo;En desacuerdo;Neutral;;Neutral;Neutral;Importante;Neutral;Importante;Importante;Neutral;Importante;Importante;;De acuerdo;De acuerdo;Totalmente en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;590383222;45c0b325-da3b-4c38-b491-215bde1de226;2025-10-24T22:44:24;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;357
;Unicach  sede Villa Corzo;México;Ciencias Económicas y Administrativas;GESTION Y DESARROLLO DE NEGOCIOS;8vo Semestre;21;Masculino;;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;Neutral;Neutral;Neutral;Neutral;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Neutral;Importante;;Neutral;Neutral;Neutral;De acuerdo;Neutral;Neutral;Neutral;590423543;0abcf69b-495f-46d6-b52e-1437a447913d;2025-10-25T01:45:35;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;358
;Universidad de ciencias y artes de Chiapas;México;Ciencias Económicas y Administrativas;Licenciatura. Gestión y desarrollo de negocios;8vo Semestre;20;Femenino;;Básico;Básico;Básico;Básico;Básico;Básico;Básico;Básico;Básico;;Neutral;De acuerdo;Neutral;Neutral;Neutral;;Importante;Importante;Muy importante;Muy importante;Neutral;Neutral;Neutral;Neutral;Muy importante;;Neutral;Totalmente de acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;590442998;01483daa-c98f-476a-a8a0-f66d9826d81d;2025-10-25T03:26:02;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;359
;Unicach;México;Ciencias Económicas y Administrativas;Administración y gestión de negocios;8vo Semestre;20;Masculino;;Básico;Ninguno;Ninguno;Básico;Básico;Básico;Básico;Básico;Básico;;Neutral;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;;Neutral;Neutral;Neutral;Sin importancia;Sin importancia;Neutral;Neutral;Sin importancia;Importante;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Neutral;Neutral;590454157;4cf162bb-7765-4db9-a793-e029eeea6faa;2025-10-25T04:14:47;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;360
;UNICACH SEDE VILLACORZO;México;Ciencias Económicas y Administrativas;Licenciatura en gestión y desarrollo de negocios;8vo Semestre;22;Masculino;;Básico;Básico;Básico;Básico;Básico;Básico;Básico;Básico;Básico;;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;;Poca importancia;Poca importancia;Importante;Importante;Poca importancia;Importante;Poca importancia;Muy importante;Poca importancia;;Totalmente en desacuerdo;En desacuerdo;De acuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;De acuerdo;590467724;6d7b1dfe-5144-4c67-819c-8d134693ba70;2025-10-25T04:59:39;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;361
;Universidad de Ciencias y Artes de Chiapas;México;Otro;Lic. en Marketing Digital;8vo Semestre;30;Femenino;;Básico;Ninguno;Ninguno;Básico;Básico;Básico;Básico;Básico;Básico;;De acuerdo;De acuerdo;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;Neutral;En desacuerdo;591002378;ceeecc26-7ef9-4db9-9bf5-f21664707232;2025-10-26T02:38:46;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;362
;Universidad de Ciencias y Artes de Chiapas;México;Ciencias Económicas y Administrativas;Licenciatura en Gestión y Desarrollo de Negocios;8vo Semestre;21;Masculino;;Avanzado;Intermedio;Básico;Intermedio;Avanzado;Avanzado;Experto;Experto;Experto;;Neutral;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;;Sin importancia;Sin importancia;Importante;Importante;Neutral;Importante;Importante;Importante;Poca importancia;;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Neutral;Neutral;Totalmente en desacuerdo;591028761;81aeca09-8476-41a8-8922-a6e4a656284e;2025-10-26T04:34:32;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;363
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias de la Salud;Bioquímica y farmacia;8vo Semestre;23;Femenino;;Intermedio;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;De acuerdo;En desacuerdo;Neutral;Neutral;;Importante;Importante;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;Muy importante;;Neutral;De acuerdo;En desacuerdo;Neutral;De acuerdo;De acuerdo;Totalmente en desacuerdo;591916561;ac5ef5b0-18bd-4fed-b11c-9b08449cb8e1;2025-10-27T14:05:23;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;364
;Uniminuto;Colombia;Ciencias Económicas y Administrativas;Administración de empresas;8vo Semestre;26;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;592249097;36b1d558-1fff-4005-9274-1cde047bc145;2025-10-27T23:25:54;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;365
;Uniminuto;Colombia;Ciencias Económicas y Administrativas;Administración de Empresas;8vo Semestre;23;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Importante;Neutral;Neutral;Neutral;Importante;Importante;Importante;Importante;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;592249175;2225ea00-8e8a-4379-9786-d13924f862ea;2025-10-27T23:26:12;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;366
;Uniminuto;Colombia;Ciencias Económicas y Administrativas;Administración de empresas;8vo Semestre;24;Masculino;;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Experto;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;592249264;658f09c1-f622-4edd-8b07-634863cede09;2025-10-27T23:26:30;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;367
;Uniminuto;Colombia;Otro;Administración de empresas;8vo Semestre;25;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;;Neutral;De acuerdo;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Neutral;Neutral;Neutral;Importante;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;592249292;0df774d0-33f4-4314-8332-090b84584213;2025-10-27T23:26:36;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;368
;Uniminuto;Colombia;Ciencias Económicas y Administrativas;Administración de empresas;9no Semestre;30;Masculino;;Avanzado;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Intermedio;Intermedio;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Muy importante;Importante;Importante;Importante;Importante;Importante;Neutral;Importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;592249378;7c3711f2-c2e3-489d-8256-0535682436ea;2025-10-27T23:26:53;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;369
;Uniminuto;Colombia;Ciencias Económicas y Administrativas;Administración de empresas;9no Semestre;31;Masculino;;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;592249457;1b7f19e0-2869-49a8-b90e-7771bd9af592;2025-10-27T23:27:10;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;370
;Uniminuto;Colombia;Ciencias Económicas y Administrativas;Administración  de empresas;8vo Semestre;33;Femenino;;Avanzado;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;592249479;bc77f9fb-4986-4198-86b5-3be6115d0c4e;2025-10-27T23:27:16;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;371
;Corporación universitaria minuto de Dios;Colombia;Ciencias Económicas y Administrativas;Administración de empresas;8vo Semestre;27;Masculino;;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;592249581;c216acb1-04c4-4d86-ae2b-17deef6fedae;2025-10-27T23:27:35;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;372
;UNIMINUTO;Colombia;Ciencias Económicas y Administrativas;Administration de Empresas;9no Semestre;34;Femenino;;Básico;Ninguno;Ninguno;Básico;Ninguno;Ninguno;Básico;Básico;Básico;;Neutral;De acuerdo;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Importante;Neutral;Importante;;Neutral;De acuerdo;Neutral;Neutral;Neutral;De acuerdo;Neutral;592249624;5fd1a7f6-8d50-478d-8cd6-8a54af8d9250;2025-10-27T23:27:43;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;373
;Corporación Universitaria Minuto de Dios;Colombia;Ciencias Económicas y Administrativas;Administración de empresas;9no Semestre;21;Femenino;;Intermedio;Ninguno;Básico;Avanzado;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;;Neutral;De acuerdo;Neutral;Neutral;De acuerdo;;Importante;Neutral;Importante;Importante;Muy importante;Muy importante;Importante;Importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;592249697;be698b70-d31c-4dc8-bce5-a5a7938829d7;2025-10-27T23:27:57;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;374
;UNIMINUTO;Colombia;Ciencias Económicas y Administrativas;Administración de empresa;9no Semestre;23;Masculino;;Intermedio;Intermedio;Básico;Avanzado;Experto;Experto;Experto;Avanzado;Experto;;Totalmente de acuerdo;De acuerdo;Neutral;Totalmente de acuerdo;Neutral;;Neutral;Importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Importante;Muy importante;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;Neutral;En desacuerdo;592249701;e94b08b5-8ef0-40dd-a121-c61e76fd570e;2025-10-27T23:27:58;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;375
;Uniminuto;Colombia;Otro;Administración de empresas;8vo Semestre;28;Femenino;;Avanzado;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;592249785;b3e3f395-497d-4777-b2df-ff2655a800b9;2025-10-27T23:28:10;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;376
;Uniminuto;Colombia;Ciencias Económicas y Administrativas;Administración de empresas;8vo Semestre;29;Femenino;;Ninguno;Ninguno;Ninguno;Básico;Básico;Básico;Básico;Básico;Básico;;Neutral;Neutral;En desacuerdo;Totalmente en desacuerdo;Neutral;;Neutral;Neutral;Importante;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;;Totalmente en desacuerdo;En desacuerdo;Neutral;Neutral;De acuerdo;Totalmente de acuerdo;En desacuerdo;592250116;7049b00d-dc18-4444-92d7-fa3ab43310cd;2025-10-27T23:28:51;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;377
;Universidad minuto De Dios;Colombia;Ciencias Económicas y Administrativas;Administración de empresas;9no Semestre;21;Masculino;;Avanzado;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;Neutral;Neutral;Neutral;De acuerdo;;Importante;Importante;Muy importante;Muy importante;Importante;Importante;Neutral;Importante;Muy importante;;Neutral;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;Neutral;592250201;2bf19be4-e99a-4c54-ada5-05eee2b73998;2025-10-27T23:29:00;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;378
